1,Jon Snow,Kit Harington (and others),8,54.75,8,33.75,8,36.0,8,42.5,9,49.25,9,52.0,6,57.75,326.0
2,Tyrion Lannister,Peter Dinklage,9,52.75,10,65.0,9,50.0,8,47.75,10,44.0,8,34.0,6,31.0,324.5
3,Daenerys Targaryen,Emilia Clarke,9,54.0,8,38.75,8,30.75,8,27.5,8,41.75,8,28.75,5,46.5,268.0
4,Sansa Stark,Sophie Turner,9,24.0,7,34.0,8,33.5,7,32.75,9,34.75,7,40.5,5,32.0,231.5
5,Cersei Lannister,Lena Headey (and others),10,28.0,9,36.25,8,22.0,9,37.25,9,49.75,8,28.5,5,22.0,223.75
6,Arya Stark,Maisie Williams (and others) (and others),9,33.5,9,38.75,9,26.5,6,25.75,6,34.75,9,30.0,6,31.75,221.0
7,Jaime Lannister,Nikolaj Coster-Waldau,8,21.0,4,18.25,7,34.75,9,36.0,7,21.75,8,30.75,5,27.0,189.5
8,Samwell Tarly,John Bradley,5,21.25,6,11.25,8,24.0,7,26.0,9,23.5,3,16.0,4,20.5,142.5
9,Jorah Mormont,Iain Glen,9,27.5,7,17.5,8,18.75,7,13.5,8,29.75,3,10.5,4,22.5,140.0
10,Theon Greyjoy,Alfie Allen,9,16.75,8,40.25,6,22.5,3,12.25,6,15.5,7,16.5,3,5.25,129.0
11,Petyr 'Littlefinger' Baelish,Aidan Gillen,8,25.75,7,21.25,4,8.75,5,19.0,6,18.5,4,9.0,6,11.5,113.75
12,Davos Seaworth,Liam Cunningham,,,6,19.25,4,19.0,4,11.5,7,12.5,8,27.25,6,18.25,107.75
13,Eddard 'Ned' Stark,Sean Bean (and others),10,92.5,,,,,1,0.0,,,4,7.25,,,99.75
14,Brienne of Tarth,Gwendoline Christie,,,7,18.0,7,21.25,7,20.0,6,14.75,5,15.5,4,5.75,95.25
15,Bran Stark,Isaac Hempstead Wright,8,25.75,7,13.25,6,16.75,4,12.0,,,5,18.25,4,8.75,94.75
16,Lord Varys,Conleth Hill,7,19.0,6,14.0,5,15.75,6,6.5,4,10.5,7,16.0,5,10.5,92.25
17,Sandor 'The Hound' Clegane,Rory McCann,8,6.75,5,11.75,8,16.0,6,28.5,,,2,9.75,3,18.0,90.75
18,Catelyn Stark,Michelle Fairley,9,42.25,8,24.0,8,16.5,,,,,,,,,82.75
19,Tywin Lannister,Charles Dance,4,10.25,7,17.25,8,21.25,7,28.5,1,1.0,,,,,78.25
20,Margaery Tyrell,Natalie Dormer,,,4,9.5,6,21.25,6,17.75,5,11.25,5,18.25,,,78.0
21,Robb Stark,Richard Madden,8,24.75,6,27.5,7,25.5,,,,,,,,,77.75
22,Stannis Baratheon,Stephen Dillane,,,7,19.75,5,14.25,4,10.0,8,29.25,,,,,73.25
23,Bronn,Jerome Flynn,5,15.0,7,14.5,4,6.75,4,8.75,6,13.5,3,5.5,3,7.5,71.5
24,Joffrey Baratheon,Jack Gleeson,10,17.75,6,17.5,7,20.25,3,14.75,,,,,,,70.25
25,Melisandre,Carice van Houten,,,4,12.75,6,18.0,3,5.25,6,11.75,7,18.0,2,3.0,68.75
26,Ramsay Bolton,Iwan Rheon,,,,,5,12.75,3,13.5,6,18.5,5,21.25,,,66.0
27,Missandei,Nathalie Emmanuel,,,,,8,11.5,7,9.5,7,13.25,7,11.5,4,14.5,60.25
28,Gilly,Hannah Murray,,,3,3.25,6,13.5,3,9.25,6,11.75,3,15.25,2,2.5,55.5
29,Tormund Giantsbane,Kristofer Hivju,,,,,7,8.75,5,7.25,5,12.25,7,13.5,3,13.25,55.0
30,Ygritte,Rose Leslie,,,4,17.75,8,25.0,5,8.25,,,,,,,51.0
31,Shae,Sibel Kekilli,2,8.0,8,16.0,6,14.5,4,8.75,,,,,,,47.25
32,Daario Naharis,Ed Skrein,,,,,3,6.5,5,7.5,7,19.25,6,12.75,,,46.0
33,Olenna Tyrell,Diana Rigg,,,,,5,13.75,4,8.0,2,8.0,5,8.5,2,5.75,44.0
34,Podrick Payne,Daniel Portman,,,4,3.75,5,5.5,7,16.0,6,9.0,4,7.0,2,2.25,43.5
35,Tommen Baratheon,Callum Wharry,2,0.75,4,4.25,,,5,9.75,5,11.5,6,17.0,,,43.25
36,Grey Worm,Jacob Anderson,,,,,5,5.5,7,6.5,5,10.25,7,10.0,3,10.0,42.25
37,Gendry,Joe Dempsie,2,2.75,7,9.0,8,17.0,,,,,,,2,10.5,39.25
38,High Sparrow,Jonathan Pryce,,,,,,,,,5,17.0,7,20.5,,,37.5
39,Barristan Selmy,Ian McElhinney,6,8.75,,,8,13.5,7,7.75,4,7.25,,,,,37.25
40,Grand Maester Pycelle,Julian Glover,8,13.75,5,6.25,3,2.75,6,5.25,5,2.5,4,4.75,,,35.25
41,Yara Greyjoy,Gemma Whelan,,,4,10.0,1,2.75,1,2.25,,,6,12.0,2,5.25,32.25
42,Loras Tyrell,Finn Jones,1,5.75,5,8.0,5,6.25,3,1.75,4,4.5,2,5.75,,,32.0
43,Talisa Maegyr,Oona Chaplin,,,5,14.75,7,16.0,,,,,,,,,30.75
44,Robert Baratheon,Mark Addy,7,30.5,,,,,,,,,,,,,30.5
45,Roose Bolton,Michael McElhatton,,,4,3.5,7,8.75,2,5.75,4,9.0,2,3.25,,,30.25
46,Osha,Natalia Tena,4,8.0,6,9.5,4,8.75,,,,,2,3.5,,,29.75
47,Hodor,Kristian Nairn (and others),5,3.0,7,6.0,5,7.0,4,7.0,,,4,6.5,,,29.5
48,Eddison Tollett,Ben Crompton,,,5,5.0,4,3.75,7,5.75,8,4.25,5,9.5,1,1.0,29.25
49,Meera Reed,Ellie Kendrick,,,,,5,8.25,4,9.25,,,4,9.5,3,2.25,29.25
50,Oberyn Martell,Pedro Pascal,,,,,,,7,28.5,,,,,,,28.5
51,Jaqen H'ghar,Tom Wlaschiha (and others) (and others),1,0.0,7,8.0,,,,,7,11.25,5,7.25,,,26.5
52,Thoros of Myr,Paul Kaye,,,,,6,12.75,,,,,1,2.25,3,11.25,26.25
53,Alliser Thorne,Owen Teale,4,6.75,,,,,5,9.25,7,5.75,3,4.25,,,26.0
54,Khal Drogo,Jason Momoa,9,22.75,1,2.25,,,,,,,,,,,25.0
55,Beric Dondarrion,David Michael Scott,1,0.5,,,4,8.25,,,,,1,2.5,3,13.25,24.5
56,Ellaria Sand,Indira Varma,,,,,,,4,6.75,5,8.75,2,3.0,2,5.75,24.25
57,Renly Baratheon,Gethin Anthony,5,9.5,3,14.5,,,,,,,,,,,24.0
58,Maester Luwin,Donald Sumpter,7,6.75,7,16.75,,,,,,,,,,,23.5
59,Qyburn,Anton Lesser,,,,,4,5.75,2,2.25,5,4.25,3,7.0,3,3.5,22.75
60,Ros,Esmé Bianco,5,8.25,5,10.25,4,3.25,,,,,,,,,21.75
61,Grenn,Mark Stanley,6,6.25,5,5.0,4,3.0,7,7.0,,,,,,,21.25
62,Jeor Mormont,James Cosmo,5,10.0,3,7.0,4,4.0,,,,,,,,,21.0
63,Mance Rayder,Ciarán Hinds,,,,,3,6.75,1,7.0,1,7.25,,,,,21.0
